Support_received_Fall_Armyworm_ml,Institutions_provided_support_Fall_Armyworm_ml,other_institutions_provided_support_for_Fall_Armyworm_ml,PARENT_KEY,KEY
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/FAW_Support[1]
Improved_seed,Send_A_Cow,,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/FAW_Support[2]
Improved_seed,Send_A_Cow,,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/FAW_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/FAW_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/FAW_Support[1]
Improved_seed,Send_A_Cow,,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/FAW_Support[2]
Improved_seed,Send_A_Cow,,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/FAW_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/FAW_Support[2]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:b729a7fb-c130-4504-a7d5-ab3236159598,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/FAW_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:b729a7fb-c130-4504-a7d5-ab3236159598,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/FAW_Support[2]
Improved_seed,Send_A_Cow,,uuid:b729a7fb-c130-4504-a7d5-ab3236159598,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/FAW_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63/sclamp/FAW_Support[1]
Improved_seed,Send_A_Cow,,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63/sclamp/FAW_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322/sclamp/FAW_Support[1]
Improved_seed,Send_A_Cow,,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322/sclamp/FAW_Support[2]
