plot_id,plot_info_id,plot_location,main_crop_onplot,Season,plot_area_hectare,plot_tenure,other_plot_tenure,hh_decision,plot_soil_fertility,surrounding_plot,other_surrounding_plot,intercropping_plot,push_pull_plot,plot_irrigated,fertilizer_on,insecticide_on,herbicide_on,harvested_dry,crop_suffer_FAW,perc_lost_FAW,crop_suffer_Sborer,perc_lost_Sborer,crop_suffer_Striga,perc_lost_Striga,crop_suffer_TutaAbsoluta,percent_lost_TutaAbsoluta,FAW_first_strategy-control_FAW_one,FAW_first_strategy-specify_other_strategy_FAW_one,FAW_first_strategy-effectiveness_FAW_one,FAW_second_strategy-control_FAW_two,FAW_second_strategy-specify_other_strategy_FAW_two,FAW_second_strategy-effectiveness_FAW_two,FAW_third_strategy-control_FAW_three,FAW_third_strategy-specify_other_strategy_FAW_three,FAW_third_strategy-effectiveness_FAW_three,Stemborer_first_strategy-control_Stemborer_first,Stemborer_first_strategy-specify_other_strategy_Stemborer_first,Stemborer_first_strategy-effectiveness_Stemborer_first,Stemborer_second_strategy-control_Stemborer_second,Stemborer_second_strategy-specify_other_strategy_Stemborer_second,Stemborer_second_strategy-effectiveness_Stemborer_second,Stemborer_third_strategy-control_Stemborer_third,Stemborer_third_strategy-specify_other_strategy_Stemborer_third,Stemborer_third_strategy-effectiveness_Stemborer_third,Striga_first_strategy-control_Striga_first,Striga_first_strategy-specify_other_Striga_first,Striga_first_strategy-effective_control_Striga_first,Striga_second_strategy-control_Striga_second,Striga_second_strategy-specify_other_Striga_second,Striga_second_strategy-effective_control_Striga_second,Striga_third_strategy-control_Striga_third,Striga_third_strategy-specify_other_Striga_third,Striga_third_strategy-effective_control_Striga_third,TutaAbsoluta_first_strategy_count,TutaAbsoluta_first_strategy-control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-other_strategies_control_TutaAbsoluta_first,TutaAbsoluta_first_strategy-effective_strategy_control_TutaAbsoluta_first,TutaAbsoluta_second_strategy_count,TutaAbsoluta_second_strategy-control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-other_strategies_control_TutaAbsoluta_second,TutaAbsoluta_second_strategy-effective_strategy_control_TutaAbsoluta_second,TutaAbsoluta_third_strategy_count,TutaAbsoluta_third_strategy-control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-other_strategies_control_TutaAbsoluta_third,TutaAbsoluta_third_strategy-effective_strategy_control_TutaAbsoluta_third,constraints_for_maize_production_count,constraints_for_tomato_production_count,PARENT_KEY,KEY
202107154911,1,Guaro,Maize,Short_rain_season_ShortRain,0.06,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,No,No,100.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1]
202107145547,1,Dej,Maize,Short_rain_season_ShortRain,0.125,Owned,,Head_spouse_and_other_household,Medium,Farmeland,,Yes,No,No,Yes,No,No,200.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1]
202107145710,1,Guaro,Maize,Short_rain_season_ShortRain,0.06,Owned,,Head_and_other_household_member,Medium,Settlement,,Yes,No,No,Yes,Yes,No,200.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1]
202107141550,1,Guaro ,Maize,Short_rain_season_ShortRain,0.125,Owned,,Head_spouse_and_other_household,Medium,Farmeland,,Yes,No,No,Yes,No,No,200.0,Yes,25.0,No,,No,,,,Mechanically_Remove_The_Insect,,Low,Uprooting_Infested_Plant_And_Burning,,Low,None,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1]
202107144330,1,Guaro ,Maize,Short_rain_season_ShortRain,0.25,Owned,,Head_spouse_and_other_household,Medium,Farmeland,,Yes,No,No,Yes,No,No,100.0,Yes,500.0,No,,No,,,,Mechanically_Remove_The_Insect,,Medium,Herbal_Plants,,High,Uprooting_Infested_Plant_And_Burning,,Medium,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1]
202107141848,1,Dej,Maize,Short_rain_season_ShortRain,0.18,Owned,,Head_spouse_and_other_household,Good,Farmeland,,Yes,Yes,No,Yes,No,No,200.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:b729a7fb-c130-4504-a7d5-ab3236159598,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/Season_Information[1]
202107145628,1,Guaro ,Maize,Short_rain_season_ShortRain,0.06,Owned,,Head_spouse_and_other_household,Medium,Farmeland,,Yes,No,No,No,No,No,200.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63/sclamp/Season_Information[1]
202107142838,1,Guaro ,Maize,Short_rain_season_ShortRain,0.06,Owned,,Head_spouse_and_other_household,Medium,Settlement,,No,No,No,Yes,No,No,100.0,Yes,50.0,No,,No,,,,Ash_pepper,,Medium,Uprooting_Infested_Plant_And_Burning,,Low,Herbal_Plants,,Medium,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322/sclamp/Season_Information[1]
202107140319,1,Guaro ,Maize,Short_rain_season_ShortRain,0.06,Owned,,Head_spouse_and_other_household,Medium,Farmeland,,Yes,No,No,Yes,No,No,300.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:2c075ba4-8a9c-4c78-a779-604a58f42cca,uuid:2c075ba4-8a9c-4c78-a779-604a58f42cca/sclamp/Season_Information[1]
202107142642,1,Guaro,Maize,Short_rain_season_ShortRain,0.125,Owned,,Head_spouse_and_other_household,Good,Farmeland,,Yes,Yes,No,Yes,No,No,500.0,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,3,,,,3,3,uuid:dbe47f29-b975-4115-8cfe-2dc00043c784,uuid:dbe47f29-b975-4115-8cfe-2dc00043c784/sclamp/Season_Information[1]
