maize_varieties_grown,maize_variety_improved_or_local,reason_growing_maize_variety_ml,other_reason_growing_maize_variety,PARENT_KEY,KEY
Local,Local,other,High price of improved seed,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Specify_Maize_Variety[1]
Local,Local,other,High price of improved seed,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Specify_Maize_Variety[1]
Global,Improved,High_yielding,,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Specify_Maize_Variety[1]
Global ,Improved,High_yielding,,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Specify_Maize_Variety[1]
Pioner ,Improved,High_yielding,,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Specify_Maize_Variety[1]
Global ,Improved,High_yielding Early_maturity Good_price,,uuid:b729a7fb-c130-4504-a7d5-ab3236159598,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/Specify_Maize_Variety[1]
Global,Improved,High_yielding,,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63,uuid:1bedca8a-9666-48f7-89f5-63e99c1efa63/sclamp/Specify_Maize_Variety[1]
Pioner ,Improved,Early_maturity High_yielding,,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322,uuid:7fd55c16-fbfe-46fc-8c31-1f397dc8d322/sclamp/Specify_Maize_Variety[1]
Local ,Local,High_yielding,,uuid:2c075ba4-8a9c-4c78-a779-604a58f42cca,uuid:2c075ba4-8a9c-4c78-a779-604a58f42cca/sclamp/Specify_Maize_Variety[1]
Pioner,Improved,Early_maturity High_yielding,,uuid:dbe47f29-b975-4115-8cfe-2dc00043c784,uuid:dbe47f29-b975-4115-8cfe-2dc00043c784/sclamp/Specify_Maize_Variety[1]
Local ,Local,other,Unavailable improved seed ,uuid:0bff5d21-ddd6-4e70-a307-69c567538652,uuid:0bff5d21-ddd6-4e70-a307-69c567538652/sclamp/Specify_Maize_Variety[1]
Local ,Local,Easy_preparation Early_maturity,,uuid:aec593a3-abf7-4865-99e5-f8854d31a887,uuid:aec593a3-abf7-4865-99e5-f8854d31a887/sclamp/Specify_Maize_Variety[1]
Local ,Local,other,Unavailable improved seed ,uuid:c9af4c69-02e6-4831-a027-25ea0994111a,uuid:c9af4c69-02e6-4831-a027-25ea0994111a/sclamp/Specify_Maize_Variety[1]
Local ,Local,other,Money constraint ,uuid:56709010-0fe5-4b96-bf3e-774232ee327b,uuid:56709010-0fe5-4b96-bf3e-774232ee327b/sclamp/Specify_Maize_Variety[1]
