Support_received_for_Stemborer,Institutions_provided_support_Stemborer,other_institutions_that_provided_support_for_Stemborer,PARENT_KEY,KEY
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:bac7d2c0-4216-4d00-8091-fc9358083e98,uuid:bac7d2c0-4216-4d00-8091-fc9358083e98/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:11f9fa2b-b3e2-4dc6-9c20-1a89a8fa26bb,uuid:11f9fa2b-b3e2-4dc6-9c20-1a89a8fa26bb/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:3adb7645-3e18-45b3-be0a-818f47b814dc,uuid:3adb7645-3e18-45b3-be0a-818f47b814dc/sclamp/Stemborer_Support[1]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:3fe2ba49-981b-41ed-89ca-e3cf8432a1ac,uuid:3fe2ba49-981b-41ed-89ca-e3cf8432a1ac/sclamp/Stemborer_Support[1]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:8440e6c4-bb26-482c-b1c4-7846eb324499,uuid:8440e6c4-bb26-482c-b1c4-7846eb324499/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:9e32acea-a7ad-4764-bb6c-2fb9c2d5dce5,uuid:9e32acea-a7ad-4764-bb6c-2fb9c2d5dce5/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:96c51c9a-ca68-4e52-a39d-91da7e06569d,uuid:96c51c9a-ca68-4e52-a39d-91da7e06569d/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:0de1fd37-fe0b-47cf-8e26-b536716cbf39,uuid:0de1fd37-fe0b-47cf-8e26-b536716cbf39/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602/sclamp/Stemborer_Support[2]
Improved_seed,Send_A_Cow,,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602,uuid:63b43d1c-e6bd-4af6-b880-49fa3264b602/sclamp/Stemborer_Support[3]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:e974be06-f0df-49d6-9010-f41c152e6acd,uuid:e974be06-f0df-49d6-9010-f41c152e6acd/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:e974be06-f0df-49d6-9010-f41c152e6acd,uuid:e974be06-f0df-49d6-9010-f41c152e6acd/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Fellow_farmers,,uuid:e9dfabfc-3382-4720-aa78-78172f5cee28,uuid:e9dfabfc-3382-4720-aa78-78172f5cee28/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Fellow_farmers,,uuid:dc3ed333-6de6-4e18-bb09-251a576b2ba4,uuid:dc3ed333-6de6-4e18-bb09-251a576b2ba4/sclamp/Stemborer_Support[1]
Improved_seed,Fellow_farmers,,uuid:dc3ed333-6de6-4e18-bb09-251a576b2ba4,uuid:dc3ed333-6de6-4e18-bb09-251a576b2ba4/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9/sclamp/Stemborer_Support[3]
Field_hygiene,Send_A_Cow,,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9,uuid:0c278629-b16e-45bf-a46c-451e0cfceba9/sclamp/Stemborer_Support[4]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:438faa98-e01e-4b67-95c1-8de8434fc01b,uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:ac347952-7307-4b06-8876-90cfc2acf30d,uuid:ac347952-7307-4b06-8876-90cfc2acf30d/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:7a0ce6d5-fb74-4c23-8b12-4fae6da90e22,uuid:7a0ce6d5-fb74-4c23-8b12-4fae6da90e22/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:e4ccdd0f-73c6-4e03-b724-680fd441ae8b,uuid:e4ccdd0f-73c6-4e03-b724-680fd441ae8b/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:89e7996d-6093-494e-86ec-1662dfaac2e7,uuid:89e7996d-6093-494e-86ec-1662dfaac2e7/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:4b3c6050-ea8b-4433-8055-2c1560f8f13b,uuid:4b3c6050-ea8b-4433-8055-2c1560f8f13b/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:51d83881-e07e-42b1-beac-feb9a59aa0b2,uuid:51d83881-e07e-42b1-beac-feb9a59aa0b2/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:d80a8f89-5944-4b0e-a3fa-87dda8553b6c,uuid:d80a8f89-5944-4b0e-a3fa-87dda8553b6c/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017,uuid:a6cba3a0-1acf-4ad4-90f1-de91f100a017/sclamp/Stemborer_Support[3]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:304182c1-5f68-4a01-afd1-b7bfb101e3fa,uuid:304182c1-5f68-4a01-afd1-b7bfb101e3fa/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:5af1b817-8710-44dc-841f-8ab7d047f375,uuid:5af1b817-8710-44dc-841f-8ab7d047f375/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Stemborer_Support[3]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Stemborer_Support[4]
Chemicals,Govt_extension_agent,,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18,uuid:696d841e-fc6a-4453-9fe8-42bb161ccf18/sclamp/Stemborer_Support[5]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:a74d5975-0830-4e50-bc3d-5bd41cbdb223,uuid:a74d5975-0830-4e50-bc3d-5bd41cbdb223/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:c2fc5a7d-3248-45b5-95b6-d34fcb582928,uuid:c2fc5a7d-3248-45b5-95b6-d34fcb582928/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:fc73dc43-4cdc-402c-b5fc-50b8887c1b5c,uuid:fc73dc43-4cdc-402c-b5fc-50b8887c1b5c/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:efbd2d35-10fd-4ecc-8a49-227dd95779f2,uuid:efbd2d35-10fd-4ecc-8a49-227dd95779f2/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:68ad7043-2786-45b2-9888-9c9e577ea10a,uuid:68ad7043-2786-45b2-9888-9c9e577ea10a/sclamp/Stemborer_Support[1]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Stemborer_Support[2]
Improved_seed,Send_A_Cow,,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb,uuid:29b77ff6-d0ce-4740-8fc6-a06658fb69bb/sclamp/Stemborer_Support[2]
other,Send_A_Cow,,uuid:0f04ab28-b044-418a-b358-c6cf0868b02a,uuid:0f04ab28-b044-418a-b358-c6cf0868b02a/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9/sclamp/Stemborer_Support[1]
other,Govt_extension_agent,,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9,uuid:3c6ca8d5-5775-4616-82a2-e0cc629cbbd9/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:84ba7ca8-b6a7-4dff-b33c-6833195b30a5,uuid:84ba7ca8-b6a7-4dff-b33c-6833195b30a5/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa,uuid:5432177a-99a4-4316-b8cf-d686fabde5fa/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:17530587-ad5c-43a5-80d0-cfff2f0d4be6,uuid:17530587-ad5c-43a5-80d0-cfff2f0d4be6/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:17530587-ad5c-43a5-80d0-cfff2f0d4be6,uuid:17530587-ad5c-43a5-80d0-cfff2f0d4be6/sclamp/Stemborer_Support[2]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:bbf7df2c-5c11-45da-952a-2f6e127f547d,uuid:bbf7df2c-5c11-45da-952a-2f6e127f547d/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:bbf7df2c-5c11-45da-952a-2f6e127f547d,uuid:bbf7df2c-5c11-45da-952a-2f6e127f547d/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ebdd33b0-1214-4554-bd10-fdf4e43e63bf,uuid:ebdd33b0-1214-4554-bd10-fdf4e43e63bf/sclamp/Stemborer_Support[1]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:d702c6f2-b9e7-4b5f-bc02-1365158a54a5,uuid:d702c6f2-b9e7-4b5f-bc02-1365158a54a5/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ce6d7cb9-d60d-4394-9852-b14123f2c8c1,uuid:ce6d7cb9-d60d-4394-9852-b14123f2c8c1/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624,uuid:515f1d7d-e61f-4338-a6d0-16e4499d3624/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ebd79976-1ea2-4115-806f-15c2e7052dc9,uuid:ebd79976-1ea2-4115-806f-15c2e7052dc9/sclamp/Stemborer_Support[1]
