Support_received_for_Tuta,Institutions_that_provided_the_support_to_the_household_for_tuta,other_institutions_that_provided_support_for_tuta,PARENT_KEY,KEY
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Tuta_Support[1]
Improved_seed,Send_A_Cow,,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Tuta_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Tuta_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Tuta_Support[2]
Field_hygiene,Send_A_Cow,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Tuta_Support[3]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Tuta_Support[4]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828,uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:77d194ed-fb95-4cf0-b390-06387d7e152b,uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Tuta_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Tuta_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:5af1b817-8710-44dc-841f-8ab7d047f375,uuid:5af1b817-8710-44dc-841f-8ab7d047f375/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Tuta_Support[1]
Improved_seed,Send_A_Cow,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Tuta_Support[2]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:9174282f-f492-403f-a863-2a932c9b1a47,uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Tuta_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Tuta_Support[1]
Improved_seed,Send_A_Cow,,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Tuta_Support[2]
