other_constraints_maize_production,other_constraints,severity_maize_production,PARENT_KEY,KEY
,,Low,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1],uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1]/constraints_for_maize_production[1]
,,None,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1],uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1]/constraints_for_maize_production[2]
,,None,uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1],uuid:e1086ef3-11c3-475b-a57f-3ad0241a27de/sclamp/Season_Information[1]/constraints_for_maize_production[3]
,,None,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1],uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1]/constraints_for_maize_production[1]
,,None,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1],uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1]/constraints_for_maize_production[2]
,,None,uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1],uuid:035b24ba-0bdf-492b-a542-30f44106a6d1/sclamp/Season_Information[1]/constraints_for_maize_production[3]
,,None,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1],uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1]/constraints_for_maize_production[1]
,,None,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1],uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1]/constraints_for_maize_production[2]
,,None,uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1],uuid:2c6c5e88-97d2-45cc-86dc-3e9212305830/sclamp/Season_Information[1]/constraints_for_maize_production[3]
,,None,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1],uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1]/constraints_for_maize_production[1]
,,None,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1],uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1]/constraints_for_maize_production[2]
,,None,uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1],uuid:a8f8d673-7c36-48bb-989b-539955fcfe47/sclamp/Season_Information[1]/constraints_for_maize_production[3]
,,High,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1],uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1]/constraints_for_maize_production[1]
,,None,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1],uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1]/constraints_for_maize_production[2]
,,None,uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1],uuid:12b8a43b-6e17-47a8-80b8-f2cc76e90ebc/sclamp/Season_Information[1]/constraints_for_maize_production[3]
,,None,uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/Season_Information[1],uuid:b729a7fb-c130-4504-a7d5-ab3236159598/sclamp/Season_Information[1]/constraints_for_maize_production[1]
