other_constraints_tomato_production,other_constraints_for_tomato_prod,level_of_severity_tomato_production,PARENT_KEY,KEY
None,,,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2],uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2],uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2],uuid:4932b5df-d5a3-47ba-8d75-d6145e13a0f3/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1],uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1]/constraints_for_tomato_production[1]
None,,,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1],uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1]/constraints_for_tomato_production[2]
None,,,uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1],uuid:89155ce2-31f0-4da2-bbbe-f0317522fdfa/sclamp/Season_Information[1]/constraints_for_tomato_production[3]
Leaf_eaters,,Low,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2],uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2],uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2],uuid:0ee0fee0-8f7a-4a55-8641-7b61ef523a4d/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2],uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2],uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2],uuid:b8dd8d86-4b81-4a1c-824a-cb39933822c8/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Low,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2],uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Cut_worm,,Low,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2],uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2],uuid:1e224ed1-60fb-4385-9a38-b827006ca013/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Medium,uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1],uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1]/constraints_for_tomato_production[1]
Plant_diseases,,Medium,uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1],uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1]/constraints_for_tomato_production[2]
Too_much_rain,,Medium,uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1],uuid:099eb9f9-eb03-4b4d-b60c-bc63ac0e8828/sclamp/Season_Information[1]/constraints_for_tomato_production[3]
Too_much_rain,,Medium,uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1],uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1]/constraints_for_tomato_production[1]
None,,,uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1],uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1]/constraints_for_tomato_production[2]
None,,,uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1],uuid:77d194ed-fb95-4cf0-b390-06387d7e152b/sclamp/Season_Information[1]/constraints_for_tomato_production[3]
Other_leaf_miners_Lirimyza_species,,Medium,uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2],uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Red_spider_mite,,Medium,uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2],uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
Plant_diseases,,Medium,uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2],uuid:438faa98-e01e-4b67-95c1-8de8434fc01b/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2],uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2],uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2],uuid:85a99616-47b2-4b01-86de-e47e86fd71c3/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2],uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2],uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2],uuid:52b338f5-f18a-4284-a7e4-72219808d211/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2],uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2],uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2],uuid:8ba370b6-ab11-4901-bd42-c757449ee23b/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Medium,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3],uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3]/constraints_for_tomato_production[1]
None,,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3],uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3]/constraints_for_tomato_production[2]
None,,,uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3],uuid:d8f07092-7719-43a4-a243-b16f97ce58fb/sclamp/Season_Information[3]/constraints_for_tomato_production[3]
None,,,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2],uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2],uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2],uuid:ba582319-e6f4-423d-8955-f0cc81c877fb/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Plant_diseases,,High,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2],uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2],uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2],uuid:79f25286-c5e4-48f2-aec6-d6c5010a60b7/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Low,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2],uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
Plant_diseases,,Medium,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2],uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2],uuid:320aa44e-dcf7-4540-bb15-8439b8d1599d/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Low,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2],uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2],uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2],uuid:2f1c22a9-3288-4408-b7b7-5fa1fd425962/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
Leaf_eaters,,Medium,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2],uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2],uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2],uuid:569a9ba2-5dd3-4bc9-af2c-89ac8c3c1ea0/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
None,,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2],uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2]/constraints_for_tomato_production[1]
None,,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2],uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2]/constraints_for_tomato_production[2]
None,,,uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2],uuid:3e47eab3-9e23-4360-a452-431f4b6af3f5/sclamp/Season_Information[2]/constraints_for_tomato_production[3]
