plot_id_Aug_Sept_2020,plot_location_name_Aug_Sept_2020,main_crop_on_this_plot_Aug_Sept_2020,plot_area_acres_Aug_Sept_2020,plot_tenure_Aug_Sept_2020,plot_tenure_other_Aug_Sept_2020,who_in_the_household_makes_decision__Aug_Sept_2020,how_fertile_is_the_soil_of_this_plot_Aug_Sept_2020,what_is_surrounding_this_plot_Aug_Sept_2020,what_is_surrounding_this_plot_other_Aug_Sept_2020,is_intercropping_on_this_plot_Aug_Sept_2020,is_push_pull_technology_on_this_plot_Aug_Sept_2020,is_plot_irrigated_Aug_Sept_2020,has_this_plot_received_fertilizer_Aug_Sept_2020,has_this_plot_received_insecticide_Aug_Sept_2020,has_this_plot_received_herbicide_Aug_Sept_2020,total_production_harvested_dry_Aug_Sept_2020,did_crop_suffer_from_FAW_Aug_Sept_2020,percentage_of_production_lost_due_to_FAW_Aug_Sept_2020,did_crop_suffer_from_Stem-borer_Aug_Sept_2020,percentage_of_production_lost_due_to_Stem-borer_Aug_Sept_2020,did_crop_suffer_from_Striga_Aug_Sept_2020,percentage_of_production_lost_due_to_Striga_Aug_Sept_2020,did_crop_suffer_from_tuta_Absoluta_Aug_Sept_2020,percentage_of_production_lost_due_to_tuta_Absoluta_Aug_Sept_2020,PARENT_KEY,KEY
1,Manga,Maize,1.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,Yes,Yes,No,100.0,Yes,32.0,No,,Yes,24.0,,,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Home,Tomato,0.09,other,Inherited ,Spouse,Good,Farmeland,,No,,Yes,No,No,No,15.0,,,,,,,Yes,33.3,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Batuli,Maize,1.5,Owned,,Head_,Medium,other,Neighbour's crops ,No,No,No,No,No,No,220.0,Yes,30.0,Yes,2.0,Yes,35.0,,,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Manga,Maize,0.25,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,Yes,No,No,No,Yes,No,100.0,Yes,20.0,Yes,5.0,Yes,35.0,,,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Kumuga,Maize,0.5,Rented_shared_in,,Head_and_spouse_jointly,Good,other,Neighbour's crops,No,No,No,No,Yes,No,50.0,Yes,20.0,Yes,5.0,Yes,35.0,,,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
2,Home,Maize,2.0,other,Inherited ,Head_and_spouse_jointly,Low,other,Neighbour's crops ,Yes,No,No,No,Yes,No,700.0,Yes,25.0,Yes,3.0,Yes,35.0,,,uuid:4539cd93-da37-444c-a03c-ab3229edda1b,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Nabikabara,Maize,3.0,Rented_shared_in,,Head_,Medium,other,Neighbours crops ,No,No,No,No,Yes,No,700.0,Yes,25.0,Yes,4.0,Yes,35.0,,,uuid:4539cd93-da37-444c-a03c-ab3229edda1b,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Kigwero 3,Maize,0.25,other,Inherited ,Head_and_spouse_jointly,Medium,Farmeland,,No,No,No,No,Yes,No,220.0,Yes,12.0,Yes,5.0,No,,,,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
4,Kigwero 4,Tomato,0.5,other,Inherited ,Head_and_spouse_jointly,Medium,Farmeland,,No,,Yes,Yes,Yes,No,20.0,,,,,,,No,,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
4,Wajaka,Maize,2.0,Owned,,Head_and_spouse_jointly,Low,Farmeland,,Yes,No,No,No,No,No,200.0,Yes,30.0,No,,Yes,20.0,,,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Bibinga,Maize,1.0,Rented_shared_in,,Head_and_spouse_jointly,Low,other,Neighbour's crops ,No,No,No,Yes,No,No,100.0,Yes,20.0,Yes,5.0,Yes,25.0,,,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
2,Fene,Tomato,0.125,other,Inherited ,Head_and_spouse_jointly,Low,other,Neighbour's crops ,No,,Yes,Yes,Yes,No,10.0,,,,,,,No,,uuid:47874c59-ec6e-4ee9-a583-f75e61074196,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kulusozi,Maize,1.5,Rented_shared_in,,Head_,Low,other,Trees,Yes,No,No,No,No,No,420.0,Yes,25.0,Yes,3.0,Yes,25.0,,,uuid:47874c59-ec6e-4ee9-a583-f75e61074196,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Home ,Tomato,0.0625,Owned,,Spouse,Good,Farmeland,,No,,Yes,Yes,Yes,No,200.0,,,,,,,No,,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Bubinga,Maize,1.5,Rented_shared_in,,Head_and_spouse_jointly,Medium,other,Neighbour's crops ,No,No,No,Yes,Yes,No,800.0,Yes,12.0,Yes,4.0,No,,,,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Waka,Tomato,0.25,other,Inherited,Spouse,Medium,other,Neighbour's crops,No,,Yes,No,Yes,No,120.0,,,,,,,No,,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Mutala,Maize,4.0,Rented_shared_in,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,No,No,No,No,Yes,No,800.0,Yes,20.0,Yes,3.0,Yes,25.0,,,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Wansi,Tomato,0.5,Owned,,Head_and_spouse_jointly,Low,Farmeland,,No,,Yes,No,No,No,470.0,,,,,,,No,,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2,uuid:1a9ec839-9334-4076-9d8b-4f84d65c60c2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
4,Kasode,Maize,1.0,Rented_shared_in,,Head_and_spouse_jointly,Good,Pasture_,,Yes,No,No,No,No,No,100.0,Yes,10.0,Yes,4.0,No,,,,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2,uuid:43b7710e-d047-4b4e-bf1f-60bd68ed68b2/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
1,Kiwanyi,Maize,1.0,Owned,,Head_,Medium,other,Neighbour's crops,No,No,No,No,No,No,200.0,Yes,20.0,Yes,5.0,No,,,,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Home,Maize,0.5,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,Yes,No,No,Yes,No,No,400.0,No,,Yes,5.0,Yes,50.0,,,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b,uuid:5f497353-90f8-4be3-9614-3d5bf6cf668b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
1,Katengerere,Maize,2.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,No,No,Yes,No,Yes,No,150.0,Yes,20.0,Yes,4.0,Yes,40.0,,,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
2,Kibari,Tomato,0.25,Owned,,Head_and_spouse_jointly,Good,other,Neighbour's crops,No,,Yes,No,Yes,No,320.0,,,,,,,No,,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]
3,Mitala,Maize,3.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,Yes,No,400.0,Yes,20.0,Yes,4.0,No,,,,uuid:4b4915f1-666c-463a-957c-897ecff93c31,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kabira,Tomato,0.125,Owned,,Spouse,Low,Farmeland,,No,,Yes,No,Yes,No,220.0,,,,,,,No,,uuid:d9cfae01-f338-4bca-a087-16ef9947f586,uuid:d9cfae01-f338-4bca-a087-16ef9947f586/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
3,Kumabali,Maize,1.0,Owned,,Head_,Medium,other,Neighbour's crops,Yes,No,No,No,Yes,No,300.0,Yes,35.0,Yes,4.0,Yes,45.0,,,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4,uuid:0a6df2a0-2a31-4b93-9e2c-905a329664a4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]
