plot_id_Feb_March_2020,plot_location_name_Feb_March_2020,main_crop_on_this_plot_Feb_March_2020,plot_area_acres_Feb_March_2020,plot_tenure_Feb_March_2020,plot_tenure_other_Feb_March_2020,who_in_the_household_makes_decision_Feb_March_2020,how_fertile_is_the_soil_of_this_Feb_March_2020,what_is_surrounding_this_plot_Feb_March_2020,what_is_surrounding_this_plot_other_Feb_March_2020,is_intercropping_on_this_plot_Feb_March_2020,is_push_pull_technology_on_this_plot_Feb_March_2020,is_plot_irrigated_Feb_March_2020,has_this_plot_received_fertilizer_Feb_March_2020,has_this_plot_received_insecticide_Feb_March_2020,has_this_plot_received_herbicide_Feb_March_2020,total_production_harvested_dry_Feb_March_2020,did_crop_suffer_from_FAW_Feb_March_2020,percentage_of_production_lost_due_to_FAW_Feb_March_2020,did_crop_suffer_from_Stem-borer_Feb_March_2020,percentage_of_production_lost_due_to_Stem-borer_Feb_March_2020,did_crop_suffer_from_Striga_Feb_March_2020,percentage_of_production_lost_due_to_Striga_Feb_March_2020,did_crop_suffer_from_tuta_Absoluta_Feb_March_2020,percentage_of_production_lost_due_to_tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
1,Manga,Maize,2.0,Owned,,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,Yes,Yes,No,100.0,Yes,25.0,Yes,10.0,Yes,30.0,,,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kiswa,Tomato,0.1,Owned,,Spouse,Good,Farmeland,,No,,Yes,Yes,Yes,No,50.0,,,,,,,No,,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Home,Tomato,0.09,other,Inherited ,Spouse,Good,Farmeland,,No,,Yes,No,Yes,No,40.0,,,,,,,Yes,33.3,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Manga,Maize,3.0,other,Inherited ,Head_and_spouse_jointly,Medium,Farmeland,,Yes,No,No,No,No,No,410.0,Yes,20.0,Yes,5.0,Yes,30.0,,,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
1,Manga,Maize,0.25,Owned,,Head_and_spouse_jointly,Medium,other,Neighbour's crops,Yes,No,No,Yes,Yes,No,420.0,Yes,15.0,Yes,4.0,Yes,30.0,,,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Kumuga,Maize,0.75,Rented_shared_in,,Spouse,Good,other,Neighbour's crops,Yes,No,No,No,Yes,No,100.0,Yes,15.0,Yes,4.0,Yes,25.0,,,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Kumuga,Tomato,0.25,Rented_shared_in,,Head_and_spouse_jointly,Good,other,Neighbour's crops,No,,Yes,Yes,Yes,No,1000.0,,,,,,,Yes,40.0,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
1,Home,Tomato,0.5,other,Inherited,Spouse,Low,other,Neighbour's crops,No,,Yes,Yes,Yes,No,500.0,,,,,,,No,,uuid:4539cd93-da37-444c-a03c-ab3229edda1b,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]
2,Home,Maize,1.5,other,Inherited,Head_and_spouse_jointly,Low,other,Neighbour's crops,Yes,No,No,No,Yes,No,500.0,Yes,20.0,Yes,3.0,Yes,35.0,,,uuid:4539cd93-da37-444c-a03c-ab3229edda1b,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]
3,Nabikabara,Maize,3.0,Rented_shared_in,,Head_,Medium,other,Neighbour's crops,No,No,No,No,Yes,No,1000.0,Yes,20.0,Yes,5.0,Yes,35.0,,,uuid:4539cd93-da37-444c-a03c-ab3229edda1b,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]
