strategies_used_to_control_tuta_Absoluta_Aug_Sept_2020,other_strategies_used_to_control_Aug_Sept_2020,specify_the_pesticide_Tuta_absoluta,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Aug_Sept_2020,PARENT_KEY,KEY
Chemicals,,,Medium,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:11ab4f84-6da2-4af9-b6ac-94a76465934c/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,High,uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5314ad27-7f11-4c87-ab6b-baf35d397e26/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:873f1ee1-be06-4f31-9bee-e7532a26ef6f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
other,Mulching,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a1f01dba-b7db-4c61-9e6b-5a36ba9eca0b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
Chemicals,,,Medium,uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:be1a5f69-18ae-42cb-a598-205ca08f3c60/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Chemicals,,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[1]
Field_hygiene_,,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[2]
other,Mulching,,Medium,uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:e0914409-b489-41f0-b23a-56e2cf00b20f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/Strategies_for_tuta_Absoluta_Aug_Sept_2020[3]
