strategies_used_to_control_tuta_Absoluta_Feb_March_2020,specify_the_pesticide_tuta_absoluta,other_strategies_used_to_control_Feb_March_2020,perception_on_the_effectiveness_of_strategy_in_controlling_Tuta_Absoluta_Feb_March_2020,PARENT_KEY,KEY
Chemicals,,,Medium,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:57b8fcb2-2b67-49c3-8021-63d05217bd33/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Medium,uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4b4915f1-666c-463a-957c-897ecff93c31/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:b274dff4-d26b-4575-bc67-002c4ed769a7/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,High,uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:0cafa010-dd3e-4b35-92d9-02cf799ad342/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Chemicals,,,Low,uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:eadc2067-16c3-4a6c-a3ee-5b82aab8063d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,Low,uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5],uuid:a09a56a3-2458-454b-b319-93a1748d397c/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[5]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
Field_hygiene_,,,High,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[1]
other,,Natural herb spraying,Medium,uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:fd9997a8-5c57-493d-8d68-c383c018aceb/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/Strategies_for_tuta_Absoluta_Feb_March_2020[2]
