three_other_constraints_for_tomato_production_Aug_Sept_2020,other_constraints_for_tomato_production_Aug_Sept_2020,level_of_severity_tomato_production_Aug_Sept_2020,PARENT_KEY,KEY
Cut_worm,,Low,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Drying of leaves ,Medium,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[1]
other,Caterpillars,Low,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Leaves turn to ash like,Low,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/constraints_for_tomato_production_Aug_Sept_2020[3]
other,Drying of plants ,High,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Shortage_of_rain,,High,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
other,Animals ,Low,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[3]
Aphids,,Low,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Ballworm,,Medium,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[1]
Shortage_of_rain,,High,uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:e299f4eb-8fda-4c6d-9ce8-244fff556ffa/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/constraints_for_tomato_production_Aug_Sept_2020[2]
