three_other_constraints_for_tomato_production_Feb_March_2020,other_constraints_for_tomato_production_Feb_March_2020,level_of_severity_tomato_production_Feb_March_2020,PARENT_KEY,KEY
Plant_diseases_,,High,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Cut_worm,,Low,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Cut_worm,,Medium,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[1]
Plant_diseases_,,Low,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/constraints_for_tomato_production_Feb_March_2020[2]
other,Pests that destroy the base (area that is close to the soil) of the plant,Medium,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/constraints_for_tomato_production_Feb_March_2020[1]
Cut_worm,,Low,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
other,Falling off of the leaves,Low,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Drying of plants,High,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
Ballworm,,Medium,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[2]
other,Yellowing of leaves,Medium,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/constraints_for_tomato_production_Feb_March_2020[1]
