other_constraints_for_maize_production_Aug_Sept_2020,other_constraints_Aug_Sept_2020,level_of_severity_maize_production_Aug_Sept_2020,PARENT_KEY,KEY
Drought,,Medium,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Thieves,Medium,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
other,Thieves,Low,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Other_pests,,Low,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
Shortage_of_rain,,Medium,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[1]/other_constraints_maize_production[1]
other,Thieves,Low,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
Shortage_of_rain,,High,uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:47874c59-ec6e-4ee9-a583-f75e61074196/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
other,Dry spell,Low,uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2],uuid:5a10310c-170c-4ec9-abcb-00272c02fea4/SCLAMP_EA_Questionaire/Short_rain_season/Aug_Sept_2020[2]/other_constraints_maize_production[1]
