strategies_was_used_to_control_Stem-borer_Feb_March_2020,specify_the_pesticide_stem_borer,perception_on_the_effectiveness_in_controlling_Stem-borer_Feb_March_2020,PARENT_KEY,KEY
Pesticides_Application,Cant remember ,Medium,uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:a8bc8744-46f6-45a7-84eb-19febbd60cc1/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:a3ccb1fc-001f-4975-9b72-afabca6a6a2e/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[2]
Pesticides_Application,Rocket,Medium,uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:6a3d918a-96b5-4483-90ca-c8ffc63bcf7f/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Cant remember the pesticide,Medium,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Rocket,Medium,uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3],uuid:4539cd93-da37-444c-a03c-ab3229edda1b/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[3]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Dudu,Medium,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Pesticides_Application,Dudu,Medium,uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2],uuid:c20819bc-dcc6-4721-9655-d60f80ac911d/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[2]/strategies_to_control_Stem-borer_Feb_March_2020[1]
Mechanically_Remove_The_Insect_,,Low,uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1],uuid:f78c9d9c-207e-4bf0-9bef-1d6a34f2a9ba/SCLAMP_EA_Questionaire/Long_rain_season/Feb_March_2020[1]/strategies_to_control_Stem-borer_Feb_March_2020[1]
